timestamp,sequence,digit_moves,indicators
2025-01-26 06:16:10.902,0,Up,NEUTRAL
2025-01-26 06:16:11.902,8,Down,NEUTRAL
2025-01-26 06:16:12.902,8,Down,NEUTRAL
2025-01-26 06:16:13.902,9,Down,NEUTRAL
2025-01-26 06:16:14.902,4,Down,NEUTRAL
2025-01-26 06:16:15.902,1,Up,NEUTRAL
2025-01-26 06:16:16.902,5,Down,NEUTRAL
2025-01-26 06:16:17.902,2,Up,NEUTRAL
2025-01-26 06:16:18.902,9,Down,NEUTRAL
2025-01-26 06:16:19.902,7,Up,NEUTRAL
2025-01-26 06:16:20.902,6,Down,NEUTRAL
2025-01-26 06:16:21.902,4,Down,NEUTRAL
2025-01-26 06:16:22.902,6,Up,NEUTRAL
2025-01-26 06:16:16.431,2,Down,NEUTRAL
2025-01-26 06:16:17.431,0,Up,NEUTRAL
2025-01-26 06:16:18.431,8,Down,NEUTRAL
2025-01-26 06:16:19.431,8,Down,NEUTRAL
2025-01-26 06:16:20.431,9,Down,NEUTRAL
2025-01-26 06:16:21.431,4,Down,NEUTRAL
2025-01-26 06:16:22.431,1,Up,NEUTRAL
2025-01-26 06:16:23.431,5,Down,NEUTRAL
2025-01-26 06:16:24.431,2,Up,NEUTRAL
2025-01-26 06:16:25.431,9,Down,NEUTRAL
2025-01-26 06:16:26.431,7,Up,NEUTRAL
2025-01-26 06:16:27.431,6,Down,NEUTRAL
2025-01-26 06:16:28.431,4,Down,NEUTRAL
2025-01-26 06:16:29.431,6,Up,NEUTRAL
2025-01-26 06:16:30.431,7,Up,NEUTRAL
2025-01-26 06:16:31.431,6,Down,NEUTRAL
2025-01-26 06:16:32.431,6,Up,NEUTRAL
2025-01-26 06:16:33.431,5,Up,NEUTRAL
2025-01-26 06:16:34.431,9,Up,NEUTRAL
2025-01-26 06:16:35.431,1,Up,NEUTRAL
2025-01-26 06:16:28.919,5,Down,NEUTRAL
2025-01-26 06:16:29.919,2,Up,NEUTRAL
2025-01-26 06:16:30.919,9,Down,NEUTRAL
2025-01-26 06:16:31.919,7,Up,NEUTRAL
2025-01-26 06:16:32.919,6,Down,NEUTRAL
2025-01-26 06:16:33.919,4,Down,NEUTRAL
2025-01-26 06:16:34.919,6,Up,NEUTRAL
2025-01-26 06:16:35.919,7,Up,NEUTRAL
2025-01-26 06:16:36.919,3,Up,NEUTRAL
2025-01-26 06:16:37.919,6,Down,NEUTRAL
2025-01-26 06:16:38.919,6,Up,NEUTRAL
2025-01-26 06:16:39.919,5,Up,NEUTRAL
2025-01-26 06:16:40.919,9,Up,NEUTRAL
2025-01-26 06:16:41.919,1,Up,NEUTRAL
2025-01-26 06:16:42.919,9,Down,NEUTRAL
2025-01-26 06:16:43.919,8,Down,NEUTRAL
2025-01-26 06:16:44.919,4,Down,NEUTRAL
2025-01-26 06:16:45.919,2,Up,NEUTRAL
2025-01-26 06:16:46.919,7,Up,NEUTRAL
2025-01-26 06:16:47.919,0,Down,NEUTRAL
2025-01-26 06:16:41.381,6,Up,NEUTRAL
2025-01-26 06:16:42.381,7,Up,NEUTRAL
2025-01-26 06:16:43.381,3,Up,NEUTRAL
2025-01-26 06:16:44.381,6,Down,NEUTRAL
2025-01-26 06:16:45.381,6,Up,NEUTRAL
2025-01-26 06:16:46.381,5,Up,NEUTRAL
2025-01-26 06:16:47.381,9,Up,NEUTRAL
2025-01-26 06:16:48.381,1,Up,NEUTRAL
2025-01-26 06:16:49.381,9,Down,NEUTRAL
2025-01-26 06:16:50.381,8,Down,NEUTRAL
2025-01-26 06:16:51.381,4,Down,NEUTRAL
2025-01-26 06:16:52.381,2,Up,NEUTRAL
2025-01-26 06:16:53.381,7,Up,NEUTRAL
2025-01-26 06:16:54.381,0,Down,NEUTRAL
2025-01-26 06:16:55.381,4,Down,NEUTRAL
2025-01-26 06:16:56.381,1,Up,NEUTRAL
2025-01-26 06:16:57.381,8,Up,NEUTRAL
2025-01-26 06:16:58.381,4,Up,NEUTRAL
2025-01-26 06:16:59.381,6,Down,NEUTRAL
2025-01-26 06:17:00.381,7,Up,NEUTRAL
2025-01-26 06:16:53.835,9,Up,NEUTRAL
2025-01-26 06:16:54.835,1,Up,GOOD
2025-01-26 06:16:55.835,9,Down,GOOD
2025-01-26 06:16:56.835,8,Down,GOOD
2025-01-26 06:16:57.835,4,Down,GOOD
2025-01-26 06:16:58.835,2,Up,GOOD
2025-01-26 06:16:59.835,7,Up,GOOD
2025-01-26 06:17:00.835,0,Down,GOOD
2025-01-26 06:17:01.835,4,Down,GOOD
2025-01-26 06:17:02.835,1,Up,GOOD
2025-01-26 06:17:03.835,8,Up,GOOD
2025-01-26 06:17:04.835,4,Up,GOOD
2025-01-26 06:17:05.835,6,Down,GOOD
